file,method,ARI,Silhouette,GeneCorr,missing_fraction,run,Marker_CD34,Marker_SPINK2,Marker_SLAMF7,Marker_CD27,Marker_PF4,Marker_PPBP,Marker_CD79B,Marker_CD79A,Marker_MS4A1,Marker_CD19,Marker_CD72,Marker_CD40,Marker_CD22,Marker_NKG7,Marker_GZMB,Marker_FGFBP2,Marker_SPON2,Marker_KLRC1,Marker_KLRD1,Marker_MS4A7,Marker_FCN1,Marker_S100A12,Marker_S100A9,Marker_S100A8,Marker_FCGR3A,Marker_CD14,Marker_LDHB,Marker_CD4,Marker_CD8B,Marker_CD8A,Marker_CD3D,Marker_CD3E,Marker_CD3G
adata_magic_imputed_mf30_run3.h5ad,MAGIC,1.0,,0.13856121464139304,0.3,3,,,,,0.6943143047455221,0.6784635123111099,,0.664645855239803,0.6376780593419387,,,,,,0.6707562092424635,0.6863515910111033,,0.6983678167371731,,,,0.6779100136161342,,,,,,,,,,,
adata_magic_imputed_mf30_run4.h5ad,MAGIC,1.0,,0.13873450281481023,0.3,4,,,,,0.6626026306218724,0.679615066226665,,0.6654032385144911,0.6967112588892109,,,,,,0.6798286533981608,0.6721434615411945,,0.6795642393232258,,,,0.6981411751199829,,,,,,,,,,,
adata_magic_imputed_mf30_run5.h5ad,MAGIC,1.0,,0.1394175910902328,0.3,5,,,,,0.6805618494367776,0.6862947194574661,,0.685050248435487,0.5985076604983741,,,,,,0.696541068027868,0.6647235267312427,,0.6679916061252333,,,,0.6931803035937618,,,,,,,,,,,
adata_magic_imputed_mf30_run6.h5ad,MAGIC,1.0,,0.13902671264384248,0.3,6,,,,,0.6895682323271624,0.6547151911776651,,0.6999205884863458,0.6561677897266206,,,,,,0.6813780147766313,0.65998240431559,,0.7144003598116765,,,,0.6994792752203294,,,,,,,,,,,
adata_magic_imputed_mf30_run7.h5ad,MAGIC,1.0,,0.13906511269430782,0.3,7,,,,,0.6916985304968762,0.6510197868214911,,0.6834392868290274,0.668808240448636,,,,,,0.6788656073780424,0.6676519777660567,,0.7114425321728137,,,,0.6958057079217814,,,,,,,,,,,
adata_magic_imputed_mf30_run8.h5ad,MAGIC,1.0,,0.1389333305252078,0.3,8,,,,,0.6745162634761619,0.6683627876953773,,0.6546787192813417,0.6990291498659924,,,,,,0.6860596491030702,0.6759721125112809,,0.6550117553083327,,,,0.6958496071157474,,,,,,,,,,,
adata_magic_imputed_mf30_run9.h5ad,MAGIC,1.0,,0.1390023907733678,0.3,9,,,,,0.6834646858034883,0.6757794059264538,,0.6741573868323391,0.6495197957026798,,,,,,0.6820568150103886,0.6818835160249045,,0.6821859613798557,,,,0.6857116562092554,,,,,,,,,,,
adata_knn_imputed_mf10_run1.h5ad,KNN,1.0,,0.8595490684161701,0.1,1,,,,,0.11284895241260529,0.13480959832668304,,0.04671696946024895,0.8915293216705322,,,,,,0.9005327224731445,0.9029887914657593,,0.8954569101333618,,,,0.38426822423934937,,,,,,,,,,,
adata_knn_imputed_mf10_run10.h5ad,KNN,1.0,,0.8619104940668221,0.1,10,,,,,0.11318080127239227,0.13169102370738983,,0.8991209864616394,0.8655877113342285,,,,,,0.8869958519935608,0.9007349610328674,,0.9251852631568909,,,,0.3819500207901001,,,,,,,,,,,
adata_knn_imputed_mf10_run2.h5ad,KNN,1.0,,0.8591197279311056,0.1,2,,,,,0.11214794963598251,0.13332314789295197,,0.8909037113189697,0.9170098900794983,,,,,,0.9078264832496643,0.9072279930114746,,0.8975687026977539,,,,0.38326966762542725,,,,,,,,,,,
